,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SMJ01,2018-04-28,1,IG,(ID1249) Chorwacja | Makarska + Jeziora Plitwickie,https://docs.google.com/spreadsheets/d/1yyalPtfjkNLCWp5IHQopcnF2Uq4D15NoYnyCVoNTjfw/edit#gid=1626993402,"57 658,37 zł","28 960,00 zł","18 770,40 zł","1 522,20 zł","8 405,77 zł","2229,58","57 290,60 zł","3 194,80 zł",0,65,,CHORWACJA,9,829,729,1,0,0,0,1,WIOSNA,0,0,1
SRM01,2018-04-28,1,ŁR,(ID1250) Włochy | Rimini + Wenecja,https://docs.google.com/spreadsheets/d/1K1kHTv90MQQkX7sCKTNhb_XVR71XetB2zPuSUBvLRZ8/edit#gid=2121134962,"100 988,21 zł","31 669,50 zł","53 011,20 zł","3 726,00 zł","12 581,51 zł","6321,4","101 378,76 zł","16 761,80 zł",90,0,,WŁOCHY,9,999,699,1,,,,1,Wiosna,3,,1
SIM01,2018-04-29,1,MM,(ID1276) ItalianTRIP | 5 miejscówek,https://docs.google.com/spreadsheets/d/1lEDc-x-QvfCE0YzdO0xarxtb4FMWd4oYc9od4Fn3X8s/edit#gid=1626993402,"81 178,74 zł","32 146,80 zł","35 053,92 zł","3 094,62 zł","10 883,40 zł","5980,59","87 393,20 zł","11 718,20 zł",65,93,,WŁOCHY,7,999,799,0,1,0,0,1,WIOSNA,0,1,0
THA01,2018-04-29,1,ŁR,(ID1279) Tajlandia | ThaiTrip! #Samolot | #Majówka | 16 dni,,"120 946,02 zł","70 415,44 zł","13 124,23 zł","7 148,00 zł","30 258,35 zł",0,"77 729,00 zł","21 780,00 zł",30,0,,Tajlandia,15,4999,3999,0,1,1,0,0,Wiosna,3,,1
MBB02,2018-04-30,1,MM,(ID1297) BalticTRIP | Ryga - Sztokholm - Helsinki- Tallin,https://docs.google.com/spreadsheets/d/1uOl4vIBy7WGTjbXe5djO6AkawEYenoFAtbg03u4Vzyw/edit#gid=1626993402,"96 040,15 zł","18 434,00 zł","46 860,00 zł","3 108,00 zł","27 638,15 zł","4341,92","78 593,24 zł","26 290,00 zł",100,118,,SZWECJA,5,799,599,0,1,0,1,1,WIOSNA,0,1,0
MFJ01,2018-04-30,1,MM,(ID1274) BalticTRIP | Skandynawia | Fiordy,https://docs.google.com/spreadsheets/d/1O7Wrtnk6YinYC3zSEhbuypNAeUaOE3FVpwxOMQqigmk/edit#gid=1626993402,"41 587,18 zł","13 087,20 zł","26 272,40 zł","1 620,00 zł","607,58 zł","2111,27","38 980,00 zł","12 100,00 zł",45,46,,NORWEGIA,6,899,749,0,1,0,1,1,WIOSNA,0,1,0
SMB01,2018-04-30,1,ŁR,(ID1327) Majówka | Macedonia + Budapeszt,,"38 504,81 zł","14 750,40 zł","18 229,20 zł","1 085,60 zł","4 439,61 zł","1888,19","34 744,80 zł","0,00 zł",40,44,,Macedonia,6,799,599,0,1,0,0,1,WIOSNA,3,1,0
SPC01,2018-04-30,1,ŁR,(ID1251) Czechy | Praga,,"28 386,28 zł","12 280,80 zł","12 390,40 zł","1 840,80 zł","1 874,28 zł",1055,"33 015,10 zł","2 917,20 zł",80,0,,Czechy,4,599,399,0,1,0,0,1,WIOSNA,0,1,0
MBP01,2018-05-01,1,MM,(ID1342) BalticTRIP | Skandynawia + Sankt Petersburg | 5 miejscówek II,https://docs.google.com/spreadsheets/d/1Irp0u-dEmKlmLt4CyXHkgsyxcIF1cQFZbdzxhVnSGhE/edit#gid=1626993402,"51 262,58 zł","7 593,80 zł","41 109,20 zł","1 944,00 zł","615,58 zł","3133,09","51 873,00 zł","16 016,00 zł",45,52,,ROSJA,6,999,799,0,1,0,1,1,WIOSNA,0,1,0
MVL01,2018-05-01,1,IG,(ID1263) Ukraina | Lwów,https://docs.google.com/spreadsheets/d/1aFAcgbY7kb4c7mVnR0JKHhB6lqy9Zpv275jg71Yi7lI/edit#gid=1626993402,"8 443,40 zł","3 297,00 zł","2 957,59 zł","1 722,80 zł","466,01 zł","492,57","14 227,90 zł","1 276,44 zł",50,42,,UKRAINA,3,399,199,1,0,0,0,1,WIOSNA,0,1,0
