,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SSA05,2018-08-02,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=1626993402,"34 536,64 zł","15 330,24 zł","17 564,80 zł","1 008,00 zł","633,60 zł","2041,93","39 346,00 zł","3 960,00 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SXD01,2018-08-02,0,ŁR,(ID1354) ZEA | Dubaj #Chill | 8 dni,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBL03,2018-08-03,0,MM,(ID1272) BalticTRIP | Skandynawia + Sankt Petersburg | 5 miejscówek,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","2960,67","0,00 zł","0,00 zł",40,44,,SZWECJA,6,1099,899,0,1,0,1,1,LATO,0,0,1
SBT03,2018-08-03,1,IG,(ID1266) BałkanTRIP | 9 miejscówek,https://docs.google.com/spreadsheets/d/1pEZyZOeUdTQV5gEgEeUSM59INjrVLFiqKMRR7AYE8Z0/edit#gid=1626993402,"66 551,05 zł","18 141,20 zł","36 304,90 zł","3 068,50 zł","9 036,45 zł","4000,76","61 983,60 zł","17 938,80 zł",47,48,,MACEDONIA,10,1349,1199,0,1,0,0,1,LATO,3,0,1
SBZ07,2018-08-03,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=391333091,"138 327,70 zł","29 763,00 zł","105 861,70 zł","2 359,00 zł","344,00 zł",0,"187 496,95 zł","176,00 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SCN03,2018-08-03,0,ŁR,(ID1313) Francja | Cannes (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGK06,2018-08-03,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"59 984,94 zł","21 772,99 zł","19 049,00 zł","4 149,50 zł","15 013,45 zł","2834,6","74 093,40 zł","24 406,36 zł",60,60,,GRECJA,10,899,799,1,0,0,0,1,LATO,0,0,1
SLW06,2018-08-03,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SEP04,2018-08-04,1,MM,(ID1295) EuroTRIP | Portugalia | Peniche | 6 miejscówek,https://docs.google.com/spreadsheets/d/19CuQ_ayV4Lytiuigx7teLqiDQzD2Mxc0LyT-tnForzM/edit#gid=1626993402,"67 458,60 zł","30 767,89 zł","28 272,72 zł","3 132,00 zł","5 285,99 zł","3765,95","0,00 zł","25 992,34 zł",45,43,,PORTUGALIA,12,1499,1299,0,1,0,0,1,LATO,0,0,1
SPO06,2018-08-04,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"94 834,05 zł","43 432,19 zł","40 893,00 zł","2 940,00 zł","7 568,86 zł","5613,1","46 582,80 zł","32 720,60 zł",43,43,,PORTUGALIA,15,1799,1699,0,1,0,0,1,LATO,3,0,1
SRI04,2018-08-04,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"59 970,90 zł","14 914,20 zł","24 230,50 zł","1 330,00 zł","19 496,20 zł",0,"54 623,00 zł","26 006,20 zł",40,0,,Włochy,10,1499,1199,1,,,,1,Lato,3,,1
SFL03,2018-08-05,1,ŁR,(ID1306) Włochy | Rimini (HB) | #Samolot,https://docs.google.com/spreadsheets/d/1ChVutisQIqRxc2ofMaRzDtla06RaAcKkZ8wZiymPIJg/edit#gid=2121134962,"22 031,28 zł","9 892,00 zł","10 384,50 zł","1 754,78 zł","0,00 zł",0,"27 508,00 zł","0,00 zł",10,0,,Włochy,7,1999,1699,1,,1,,,Lato,3,,1
SGR07,2018-08-05,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=2121134962,"46 245,00 zł","15 478,50 zł","9 782,50 zł","3 160,50 zł","17 823,50 zł","2218,22","36 459,00 zł","23 144,00 zł",40,52,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
ASP06,2018-08-06,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"46 111,13 zł","14 452,73 zł","30 753,60 zł","904,80 zł","0,00 zł","2843,37","51 103,00 zł","16 610,00 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
ASP07,2018-08-07,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"69 130,67 zł","27 255,47 zł","40 970,40 zł","904,80 zł","0,00 zł","3712,48","0,00 zł","18 612,00 zł",40,41,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY06,2018-08-07,1,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),https://docs.google.com/spreadsheets/d/1mrluCtNuEAe6WiDIHPt9yIysAQfAVW8CBgkO2tw7osA/edit#gid=2121134962,"98 100,42 zł","30 173,75 zł","55 384,00 zł","1 179,50 zł","11 363,17 zł","4483,78","80 476,25 zł","41 615,20 zł",45,44,,HISZPANIA,10,1699,1599,1,0,0,0,1,LATO,3,0,1
SAS06,2018-08-08,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU07,2018-08-08,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"57 867,31 zł","10 246,50 zł","23 564,00 zł","1 704,01 zł","22 352,80 zł","2642,86","58 008,00 zł","22 346,40 zł",50,48,,CZARNOGÓRA,10,999,899,1,0,0,0,1,LATO,0,0,1
SNU07,2018-08-08,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE07,2018-08-08,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=1435772818,"56 839,00 zł","13 325,30 zł","38 910,70 zł","1 421,00 zł","3 182,00 zł","3378,14","65 714,00 zł","4 923,60 zł",47,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV10,2018-08-08,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"30 619,72 zł","15 759,72 zł","6 536,00 zł","1 014,00 zł","7 310,00 zł","1505,89","35 844,00 zł","6 160,00 zł",20,20,,GRECJA ,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB06,2018-08-09,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1203161737,"29 970,30 zł","14 008,90 zł","14 869,40 zł","1 092,00 zł","0,00 zł",0,"41 225,63 zł","8 800,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SBL04,2018-08-09,0,MM,(ID1272) BalticTRIP | Skandynawia + Sankt Petersburg | 5 miejscówek,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",40,0,,SZWECJA,6,1099,899,0,1,0,1,1,LATO,0,0,1
SLS05,2018-08-09,0,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",20,0,,HISZPANIA,8,2599,2499,1,0,1,0,0,LATO,3,0,1
SSA06,2018-08-09,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=2064927368,"35 159,28 zł","15 261,38 zł","18 128,80 zł","1 008,00 zł","761,10 zł","2041,93","41 024,00 zł","0,00 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBZ08,2018-08-10,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=391333091,"133 945,40 zł","29 229,40 zł","101 136,00 zł","3 408,00 zł","172,00 zł",0,"164 725,40 zł","0,00 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SCN04,2018-08-10,0,ŁR,(ID1313) Francja | Cannes (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGK07,2018-08-10,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"60 474,55 zł","22 477,60 zł","20 803,40 zł","4 149,50 zł","13 044,05 zł","2834,6","65 711,80 zł","16 830,00 zł",60,60,,GRECJA,10,899,799,1,0,0,0,1,LATO,0,0,1
SLW07,2018-08-10,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SCH06,2018-08-11,1,IG,(ID1257) Chorwacja | Makarska (12 dni),https://docs.google.com/spreadsheets/d/10hR0Xf13yTY_Bl2iWIBYv8YzD2xYJ-qpcfY99p-1KEc/edit#gid=342248492,"97 349,60 zł","22 232,00 zł","58 050,00 zł","3 600,00 zł","13 467,60 zł","4720,36","109 558,40 zł","16 368,00 zł",94,97,,CHORWACJA,12,1099,999,1,0,0,0,1,LATO,0,0,1
SPO07,2018-08-11,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"95 177,98 zł","48 431,00 zł","36 401,44 zł","8 248,00 zł","2 097,54 zł","5613,1","46 582,80 zł","30 974,02 zł",43,43,,PORTUGALIA,15,1799,1699,0,1,0,0,1,LATO,3,0,1
SRI05,2018-08-11,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"53 044,60 zł","14 129,00 zł","25 615,10 zł","1 884,00 zł","11 416,50 zł",0,"37 999,00 zł","13 310,00 zł",40,0,,Włochy,10,1499,1199,1,,,,1,Lato,3,,1
SFL04,2018-08-12,1,ŁR,(ID1306) Włochy | Rimini (HB) | #Samolot,https://docs.google.com/spreadsheets/d/1ChVutisQIqRxc2ofMaRzDtla06RaAcKkZ8wZiymPIJg/edit#gid=2121134962,"10 128,88 zł","-1 959,92 zł","0,00 zł","0,00 zł","12 088,80 zł",0,"13 127,00 zł","8 548,80 zł",10,0,,Włochy,7,1999,1699,1,,1,,,Lato,3,,1
ASP08,2018-08-14,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"71 385,47 zł","28 753,47 zł","41 727,20 zł","904,80 zł","0,00 zł","3712,48","83 697,00 zł","1 161,60 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SGR08,2018-08-14,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=2121134962,"30 049,34 zł","15 533,14 zł","6 858,50 zł","1 319,50 zł","6 338,20 zł","2218,22","30 873,80 zł","18 304,00 zł",40,52,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
SYY07,2018-08-14,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),https://docs.google.com/spreadsheets/d/1mrluCtNuEAe6WiDIHPt9yIysAQfAVW8CBgkO2tw7osA/edit#gid=2121134962,"19 645,09 zł","17 975,10 zł","0,00 zł","1 583,99 zł","86,00 zł","4483,78","0,00 zł","0,00 zł",45,44,,HISZPANIA,10,1699,1599,1,0,0,0,1,LATO,3,0,1
SAS07,2018-08-15,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU08,2018-08-15,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"61 091,46 zł","10 768,50 zł","23 564,00 zł","5 009,00 zł","21 749,96 zł","2642,86","47 404,00 zł","21 208,80 zł",50,48,,CZARNOGÓRA,10,999,899,1,0,0,0,1,LATO,0,0,1
SNU08,2018-08-15,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE08,2018-08-15,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=2088416783,"65 825,00 zł","12 656,00 zł","34 576,30 zł","150,00 zł","18 442,70 zł","3378,14","62 980,80 zł","20 908,80 zł",47,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV11,2018-08-15,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"34 945,52 zł","16 055,56 zł","6 514,50 zł","1 014,00 zł","11 361,46 zł","1505,89","35 124,00 zł","13 332,00 zł",20,20,,GRECJA,8,1699,1499,1,0,1,0,0,LATO,3,0,1
ASP09,2018-08-16,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"31 350,08 zł","8 787,48 zł","21 422,60 zł","1 140,00 zł","0,00 zł","3021,84","28 872,00 zł","2 842,40 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SBB07,2018-08-16,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"30 991,10 zł","14 008,90 zł","15 389,70 zł","1 592,50 zł","0,00 zł","2011,35","40 052,00 zł","0,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SLS06,2018-08-16,0,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",20,0,,HISZPANIA,8,2599,2499,1,0,1,0,0,LATO,3,0,1
SSA07,2018-08-16,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=319392209,"35 120,58 zł","14 573,38 zł","18 851,20 zł","1 008,00 zł","688,00 zł","2041,93","39 346,00 zł","0,00 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBL05,2018-08-17,1,MM,(ID1272) BalticTRIP | Skandynawia + Sankt Petersburg | 5 miejscówek,https://docs.google.com/spreadsheets/d/1KckZ7G-meBrofFajgjcmIGIJ3nraH84RenwoGyQ5-mk/edit#gid=216519208,"42 216,60 zł","7 834,50 zł","31 871,60 zł","2 510,50 zł","0,00 zł","2887,35","0,00 zł","14 179,00 zł",40,44,,SZWECJA,6,899,699,0,1,0,1,1,LATO,0,0,1
SBT05,2018-08-17,1,IG,(ID1266) BałkanTRIP | 9 miejscówek,https://docs.google.com/spreadsheets/d/1pEZyZOeUdTQV5gEgEeUSM59INjrVLFiqKMRR7AYE8Z0/edit#gid=853016742,"67 486,90 zł","18 423,00 zł","37 087,50 zł","2 568,00 zł","9 408,40 zł","4000,76","61 782,80 zł","25 295,60 zł",47,48,,MACEDONIA,10,1349,1199,0,1,0,0,1,LATO,3,0,1
SBZ09,2018-08-17,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=391333091,"146 282,40 zł","32 845,60 zł","95 718,00 zł","7 115,00 zł","10 603,80 zł",0,"147 182,85 zł","10 234,40 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SCN05,2018-08-17,0,ŁR,(ID1313) Francja | Cannes (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGK08,2018-08-17,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"60 230,33 zł","21 440,18 zł","8 939,70 zł","5 570,50 zł","24 279,95 zł","2834,6","60 209,75 zł","20 569,56 zł",60,60,,GRECJA,10,899,799,1,0,0,0,1,LATO,0,0,1
SLW08,2018-08-17,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SEP05,2018-08-18,0,MM,(ID1295) EuroTRIP | Portugalia | Peniche | 6 miejscówek,,"8 385,00 zł","0,00 zł","8 385,00 zł","0,00 zł","0,00 zł","3765,95","0,00 zł","0,00 zł",45,43,,PORTUGALIA,12,1499,1299,0,1,0,0,1,LATO,0,0,1
SPO08,2018-08-18,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"103 693,67 zł","38 561,00 zł","49 966,86 zł","6 039,15 zł","9 126,66 zł","5613,1","86 034,60 zł","40 155,09 zł",43,43,,PORTUGALIA,15,1799,1699,0,1,0,0,1,LATO,3,0,1
SRI06,2018-08-18,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"74 056,20 zł","12 950,00 zł","33 922,70 zł","560,00 zł","26 623,50 zł",0,"61 308,00 zł","23 014,20 zł",40,0,,Włochy,10,1499,1199,1,,,,1,Lato,3,,1
SFL05,2018-08-19,1,ŁR,(ID1306) Włochy | Rimini (HB) | #Samolot,https://docs.google.com/spreadsheets/d/1ChVutisQIqRxc2ofMaRzDtla06RaAcKkZ8wZiymPIJg/edit#gid=2121134962,"7 896,00 zł","7 896,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"17 562,00 zł","0,00 zł",10,0,,Włochy,7,1999,1699,1,,1,,,Lato,3,,1
SIT01,2018-08-19,0,ŁR,(ID1259) ItalianTRIP | Sycylia | 6 miejscówek,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,Włochy,15,,,,,,,,,,,
SBM01,2018-08-20,0,MM,(ID1298) BalticTRIP | Skandynawia | 5 miejscówek,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","2786,58","0,00 zł","0,00 zł",45,44,,SZWECJA,7,699,599,0,1,0,1,1,LATO,0,1,0
SCH07,2018-08-20,1,IG,(ID1257) Chorwacja | Makarska (12 dni),https://docs.google.com/spreadsheets/d/10hR0Xf13yTY_Bl2iWIBYv8YzD2xYJ-qpcfY99p-1KEc/edit#gid=662576063,"92 243,84 zł","21 860,00 zł","58 044,84 zł","3 696,00 zł","8 643,00 zł","4661,78","101 441,80 zł","13 442,00 zł",94,95,,CHORWACJA,12,1099,999,1,0,0,0,1,LATO,0,0,1
ASP10,2018-08-21,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"59 088,87 zł","27 255,47 zł","30 693,40 zł","1 140,00 zł","0,00 zł","3712,48","55 651,00 zł","2 169,20 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY08,2018-08-21,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),,"11 480,50 zł","11 480,50 zł","0,00 zł","0,00 zł","0,00 zł","3286,88","0,00 zł","0,00 zł",45,44,,HISZPANIA,10,1699,1599,1,0,0,0,1,LATO,3,0,1
SAS08,2018-08-22,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU09,2018-08-22,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"48 299,10 zł","9 185,50 zł","23 564,00 zł","1 704,00 zł","13 845,60 zł","2642,86","45 696,00 zł","16 666,80 zł",50,48,,CZARNOGÓRA,10,999,899,1,0,0,0,1,LATO,0,0,1
SNU09,2018-08-22,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE09,2018-08-22,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=2088416783,"51 267,40 zł","13 700,00 zł","29 618,40 zł","2 359,00 zł","5 590,00 zł","3378,14","53 914,35 zł","6 749,60 zł",47,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV12,2018-08-22,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"25 215,97 zł","15 759,72 zł","6 514,50 zł","910,00 zł","2 031,75 zł","1505,89","36 255,00 zł","0,00 zł",20,20,,GRECJA ,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB08,2018-08-23,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"30 490,60 zł","14 008,90 zł","15 389,70 zł","1 092,00 zł","0,00 zł","2011,35","40 535,00 zł","0,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SGR09,2018-08-23,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=2121134962,"29 033,50 zł","15 654,00 zł","9 782,50 zł","3 511,00 zł","86,00 zł","2218,22","45 138,25 zł","0,00 zł",40,52,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
SLS07,2018-08-23,0,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",20,0,,HISZPANIA,8,2599,2499,1,0,1,0,0,LATO,3,0,1
SSA08,2018-08-23,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=833215896,"33 731,68 zł","14 573,38 zł","18 150,30 zł","1 008,00 zł","0,00 zł","2041,93","43 739,00 zł","0,00 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
THT01,2018-08-23,0,ŁR,(ID1340) Tajlandia | ThaiTrip! #Samolot | 15 dni,,"394,43 zł","0,00 zł","0,00 zł","0,00 zł","394,43 zł",0,"0,00 zł","0,00 zł",,0,,Tajlandia,15,4999,4399,0,1,1,0,0,Lato,3,,1
